
"InChI","InChI key"
"InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3","InChIKey=WURBVZBTWMNKQT-UHFFFAOYSA-N"
"InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)","InChIKey=YWTYJOPNNQFBPC-UHFFFAOYSA-N"
"InChI=1S/C5H11NO2/c1-2-3-4-8-5(6)7/h2-4H2,1H3,(H2,6,7)","InChIKey=SKKTUOZKZKCGTB-UHFFFAOYSA-N"
"InChI=1S/C13H17F3N4O4/c1-3-5-18(6-4-2)11-9(19(21)22)7-8(13(14,15)16)10(17)12(11)20(23)24/h7H,3-6,17H2,1-2H3","InChIKey=RSVPPPHXAASNOL-UHFFFAOYSA-N"
"InChI=1S/C15H16F5NO2S2/c1-6(2)5-7-8(13(22)24-3)10(12(16)17)21-11(15(18,19)20)9(7)14(23)25-4/h6,12H,5H2,1-4H3","InChIKey=YUBJPYNSGLJZPQ-UHFFFAOYSA-N"
"InChI=1S/H3N/h1H3","InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N"
"InChI=1S/C6H13O/c1-3-5-6-7-4-2/h2-6H2,1H3","InChIKey=QSQHJKAZGABBJJ-UHFFFAOYSA-N"
"InChI=1S/C4H4ClNOS/c1-6-4(7)2-3(5)8-6/h2H,1H3","InChIKey=DHNRXBZYEKSXIM-UHFFFAOYSA-N"
"InChI=1S/C12H4Cl2F6N4OS/c13-5-1-4(11(15,16)17)2-6(14)8(5)24-10(22)9(7(3-21)23-24)26(25)12(18,19)20/h1-2H,22H2","InChIKey=ZOCSXAVNDGMNBV-UHFFFAOYSA-N"
"InChI=1S/C18H24N2O4/c1-6-18(3,7-2)14-11-15(24-20-14)19-17(21)16-12(22-4)9-8-10-13(16)23-5/h8-11H,6-7H2,1-5H3,(H,19,21)","InChIKey=PMHURSZHKKJGBM-UHFFFAOYSA-N"
"InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2","InChIKey=WSLDOOZREJYCGB-UHFFFAOYSA-N"
"InChI=1S/C12H22O3S/c1-2-3-4-5-6-7-8-9-10-11-12-15-16(13)14/h2-5,16H,6-12H2,1H3/b3-2?,5-4+","InChIKey=PPWIKQAIBOPRGN-FCEBADDRSA-N"
"InChI=1S/H2O2/c1-2/h1-2H","InChIKey=MHAJPDPJQMAIIY-UHFFFAOYSA-N"
"InChI=1S/C15H17Cl2N3O2/c1-2-3-12-7-21-15(22-12,8-20-10-18-9-19-20)13-5-4-11(16)6-14(13)17/h4-6,9-10,12H,2-3,7-8H2,1H3","InChIKey=STJLVHWMYQXCPB-UHFFFAOYSA-N"
"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)","InChIKey=ZFSLODLOARCGLH-UHFFFAOYSA-N"
"InChI=1S/CH4O5S.H3P/c2-1-6-7(3,4)5;/h2H,1H2,(H,3,4,5);1H3","InChIKey=GQCLFTGMXCYYHT-UHFFFAOYSA-N"
"InChI=1S/ClHO.3Na/c1-2;;;/h2H;;;/q;3*+1","InChIKey=ALYYPEVCQCDXKE-UHFFFAOYSA-N"
"InChI=1S/C5H6BrClN2O2/c1-5(2)3(10)8(7)4(11)9(5)6/h1-2H3","InChIKey=PIEXCQIOSMOEOU-UHFFFAOYSA-N"
"InChI=1S/C11H16O.2Na/c1-4-11(2,3)9-5-7-10(12)8-6-9;;/h5-8,12H,4H2,1-3H3;;/q;2*+1/p-1","InChIKey=HIDGCEOBBDVPJT-UHFFFAOYSA-M"
"InChI=1S/C8H17/c1-4-6-7-8(3)5-2/h8H,3-7H2,1-2H3","InChIKey=SHCLHMINMSSGHM-UHFFFAOYSA-N"
"InChI=1S/C12H18N4O6S/c1-3-5-14(6-4-2)12-10(15(17)18)7-9(23(13,21)22)8-11(12)16(19)20/h7-8H,3-6H2,1-2H3,(H2,13,21,22)","InChIKey=UNAHYJYOSSSJHH-UHFFFAOYSA-N"
"InChI=1S/C35H44O16/c1-8-15(2)24(38)49-18-12-19(48-16(3)36)32(26(39)43-6)13-46-21-22(32)31(18)14-47-34(42,27(40)44-7)25(31)29(4,23(21)37)35-20-11-17(30(35,5)51-35)33(41)9-10-45-28(33)50-20/h8-10,17-23,25,28,37,41-42H,11-14H2,1-7H3/b15-8+/t17-,18+,19-,20+,21-,22-,23-,25+,28+,29-,30+,31+,32+,33+,34+,35+/m1/s1","InChIKey=FTNJWQUOZFUQQJ-NDAWSKJSSA-N"
"InChI=1S/BH3O3/c2-1(3)4/h2-4H","InChIKey=KGBXLFKZBHKPEV-UHFFFAOYSA-N"
"InChI=1S/C19H26NO3S/c1-2-3-4-5-6-7-8-9-10-15-18(21)23-24-17-14-12-11-13-16(17)19(22)20-24/h5-6,11-14H,2-4,7-10,15H2,1H3,(H,20,22)/b6-5+","InChIKey=STERYXPRIRVXAY-AATRIKPKSA-N"
"InChI=1S/C21H28O3/c1-7-8-9-10-15-14(4)18(12-17(15)22)24-20(23)19-16(11-13(2)3)21(19,5)6/h7-9,11,16,18-19H,1,10,12H2,2-6H3/b9-8-/t16-,18+,19+/m1/s1","InChIKey=ROVGZAWFACYCSP-VUMXUWRFSA-N"
"InChI=1S/C11H18N.ClH/c1-4-12(2,3)10-11-8-6-5-7-9-11;/h5-9H,4,10H2,1-3H3;1H/q+1;/p-1","InChIKey=IUHDTQIYNQQIBP-UHFFFAOYSA-M"
"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3","InChIKey=ZMANZCXQSJIPKH-UHFFFAOYSA-N"
"InChI=1S/2C3H7NS2.Zn/c2*1-4(2)3(5)6;/h2*1-2H3,(H,5,6);/q;;+2/p-2","InChIKey=DUBNHZYBDBBJHD-UHFFFAOYSA-L"
"InChI=1S/ClH/h1H","InChIKey=VEXZGXHMUGYJMC-UHFFFAOYSA-N"
"InChI=1S/C22H19Br4NO3/c1-21(2)17(19(23)22(24,25)26)18(21)20(28)30-16(12-27)13-7-6-10-15(11-13)29-14-8-4-3-5-9-14/h3-11,16-19H,1-2H3/t16-,17-,18+,19?/m1/s1","InChIKey=YWSCPYYRJXKUDB-KAKFPZCNSA-N"
"InChI=1S/C6H4Cl2/c7-5-1-2-6(8)4-3-5/h1-4H","InChIKey=OCJBOOLMMGQPQU-UHFFFAOYSA-N"
"InChI=1S/C25H24F6N4/c1-23(2)15-32-22(33-16-23)35-34-21(13-7-17-3-9-19(10-4-17)24(26,27)28)14-8-18-5-11-20(12-6-18)25(29,30)31/h3-14H,15-16H2,1-2H3,(H2,32,33,35)/b13-7+,14-8+","InChIKey=IQVNEKKDSLOHHK-FNCQTZNRSA-N"
"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3","InChIKey=XMGQYMWWDOXHJM-UHFFFAOYSA-N"
"InChI=1S/C23H16O3/c24-21-17-13-7-8-14-18(17)22(25)20(21)23(26)19(15-9-3-1-4-10-15)16-11-5-2-6-12-16/h1-14,19-20H","InChIKey=JYGLAHSAISAEAL-UHFFFAOYSA-N"
"InChI=1S/C7H12ClN5/c1-3-9-6-11-5(8)12-7(13-6)10-4-2/h3-4H2,1-2H3,(H2,9,10,11,12,13)","InChIKey=ODCWYMIRDDJXKW-UHFFFAOYSA-N"
"InChI=1S/CH5N2O5P.3Na/c2-1(4)3-8-9(5,6)7;;;/h(H3,2,3,4)(H2,5,6,7);;;/q;3*+1/p-2","InChIKey=YBJHHRXAYFBJLR-UHFFFAOYSA-L"
"InChI=1S/C5H6Cl2N2O2/c1-5(2)3(10)8(6)4(11)9(5)7/h1-2H3","InChIKey=KEQGZUUPPQEDPF-UHFFFAOYSA-N"
"InChI=1S/AsH3O7S.H3N/c2-1(3,4)8-9(5,6)7;/h(H2,2,3,4)(H,5,6,7);1H3","InChIKey=ZIDWEJKASLGSBZ-UHFFFAOYSA-N"
"InChI=1S/C26H22ClF3N2O3/c1-16(2)24(32-22-12-11-18(14-21(22)27)26(28,29)30)25(33)35-23(15-31)17-7-6-10-20(13-17)34-19-8-4-3-5-9-19/h3-14,16,23-24,32H,1-2H3/t23?,24-/m1/s1","InChIKey=INISTDXBRIBGOC-XMMISQBUSA-N"
"InChI=1S/C15H17ClN4/c1-2-3-8-15(9-17,10-20-12-18-11-19-20)13-4-6-14(16)7-5-13/h4-7,11-12H,2-3,8,10H2,1H3","InChIKey=HZJKXKUJVSEEFU-UHFFFAOYSA-N"
"InChI=1S/2Na.O3Si/c;;1-4(2)3/q2*+1;-2","InChIKey=NTHWMYGWWRZVTN-UHFFFAOYSA-N"
"InChI=1S/CH2O/c1-2/h1H2","InChIKey=WSFSSNUMVMOOMR-UHFFFAOYSA-N"
"InChI=1S/ClHO2/c2-1-3/h(H,2,3)/p-1","InChIKey=QBWCMBCROVPCKQ-UHFFFAOYSA-M"
"InChI=1S/ClO.Li/c1-2;/q-1;+1","InChIKey=LWXVCCOAQYNXNX-UHFFFAOYSA-N"
"InChI=1S/C22H19Cl2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3","InChIKey=KAATUXNTWXVJKI-UHFFFAOYSA-N"
"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2","InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N"
"InChI=1S/C5H12OSi/c7-5-3-1-2-4-6-5/h5H,1-4H2,7H3","InChIKey=UZUQCRLTSFFAMJ-UHFFFAOYSA-N"
"InChI=1S/2C4H8N2S4.Mn.Zn/c2*7-3(8)5-1-2-6-4(9)10;;/h2*1-2H2,(H2,5,7,8)(H2,6,9,10);;/q;;2*+2/p-4","InChIKey=CHNQZRKUZPNOOH-UHFFFAOYSA-J"
"InChI=1S/CH4/h1H4","InChIKey=VNWKTOKETHGBQD-UHFFFAOYSA-N"
"InChI=1S/C2H5AsO5.2Ca/c1-3(6,7)8-2(4)5;;/h1H3,(H,4,5)(H,6,7);;/q;2*+2/p-1","InChIKey=ZXSPRVKRPOHUIJ-UHFFFAOYSA-M"
"InChI=1S/C10H16N2O8/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)","InChIKey=KCXVZYZYPLLWCC-UHFFFAOYSA-N"
"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3","InChIKey=CTQNGGLPUBDAKN-UHFFFAOYSA-N"
"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2","InChIKey=LYCAIKOWRPUZTN-UHFFFAOYSA-N"
"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2","InChIKey=MTHSVFCYNBDYFN-UHFFFAOYSA-N"
"InChI=1S/C19H34O3/c1-15(2)22-18(20)14-17(4)11-8-10-16(3)12-9-13-19(5,6)21-7/h8,11,14-16H,9-10,12-13H2,1-7H3/b11-8+,17-14+","InChIKey=NFGXHKASABOEEW-LDRANXPESA-N"
"InChI=1S/C14H14Cl2N2O/c1-2-7-19-14(9-18-6-5-17-10-18)12-4-3-11(15)8-13(12)16/h2-6,8,10,14H,1,7,9H2","InChIKey=PZBPKYOVPCNPJY-UHFFFAOYSA-N"
"InChI=1S/C3H9N/c1-3(2)4/h3H,4H2,1-2H3","InChIKey=JJWLVOIRVHMVIS-UHFFFAOYSA-N"
"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1","InChIKey=DBMJMQXJHONAFJ-UHFFFAOYSA-M"
"InChI=1S/C19H26O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h7,9,14,16-17H,1,8,10H2,2-6H3/t14-,16+,17+/m1/s1","InChIKey=ZCVAOQKBXKSDMS-PVAVHDDUSA-N"
"InChI=1S/C9H16ClN5/c1-5-11-7-12-6(10)13-8(14-7)15-9(2,3)4/h5H2,1-4H3,(H2,11,12,13,14,15)","InChIKey=FZXISNSWEXTPMF-UHFFFAOYSA-N"
"InChI=1S/C8H16N2O3/c1-2-8(10(11)12)7-9-3-5-13-6-4-9/h8H,2-7H2,1H3","InChIKey=GQHVWDKJTDUZRP-UHFFFAOYSA-N"
"InChI=1S/Cu.H3N/h;1H3/p+1","InChIKey=BESJRHHIPGWPTC-UHFFFAOYSA-O"
"InChI=1S/BrH.2Na/h1H;;/q;2*+1/p-1","InChIKey=LMCKCIYVPVIMDG-UHFFFAOYSA-M"
"InChI=1S/C17H19NO4/c1-2-20-17(19)18-12-13-21-14-8-10-16(11-9-14)22-15-6-4-3-5-7-15/h3-11H,2,12-13H2,1H3,(H,18,19)","InChIKey=HJUFTIJOISQSKQ-UHFFFAOYSA-N"
"InChI=1S/C4H8N2S4.2Na/c7-3(8)5-1-2-6-4(9)10;;/h1-2H2,(H2,5,7,8)(H2,6,9,10);;/q;2*+1/p-2","InChIKey=UQJQVUOTMVCFHX-UHFFFAOYSA-L"
"InChI=1S/C7H5NO4/c9-6(10)4-1-2-5(7(11)12)8-3-4/h1-3H,(H,9,10)(H,11,12)","InChIKey=LVPMIMZXDYBCDF-UHFFFAOYSA-N"
"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3","InChIKey=RDHPKYGYEGBMSE-UHFFFAOYSA-N"
"InChI=1S/C3H6N2O3S4.2K/c6-1(4-2(9)10)8-5(12)3(7)11;;/h2,9-10,12H,(H,4,6)(H,7,11);;/q;2*+1","InChIKey=SOJDKSFDXRKIJJ-UHFFFAOYSA-N"
"InChI=1S/C13H19N3O4/c1-5-10(6-2)14-12-11(15(17)18)7-8(3)9(4)13(12)16(19)20/h7,10,14H,5-6H2,1-4H3","InChIKey=CHIFOSRWCNZCFN-UHFFFAOYSA-N"
"InChI=1S/C19H24O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h1,9,14,16-17H,8,10H2,2-6H3","InChIKey=SMKRKQBMYOFFMU-UHFFFAOYSA-N"
"InChI=1S/C5H10N2O2S/c1-4(10-3)7-9-5(8)6-2/h1-3H3,(H,6,8)","InChIKey=UHXUZOCRWCRNSJ-UHFFFAOYSA-N"
"InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)","InChIKey=OGGXGZAMXPVRFZ-UHFFFAOYSA-N"
"InChI=1S/C31H43ClO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19-22-31(33)34-30-24-23-29(32)26-28(30)25-27-20-17-16-18-21-27/h9-10,16-18,20-21,23-24,26H,2-8,11-15,19,22,25H2,1H3/b10-9-","InChIKey=HLVDUBFRMVBKSJ-KTKRTIGZSA-N"
"InChI=1S/C12H14N4O4S2/c1-19-11(17)15-9(21)13-7-5-3-4-6-8(7)14-10(22)16-12(18)20-2/h3-6H,1-2H3,(H2,13,15,17,21)(H2,14,16,18,22)","InChIKey=QGHREAKMXXNCOA-UHFFFAOYSA-N"
"InChI=1S/C23H26O3/c1-16(2)13-20-21(23(20,3)4)22(24)25-15-17-9-8-12-19(14-17)26-18-10-6-5-7-11-18/h5-14,20-21H,15H2,1-4H3","InChIKey=SBNFWQZLDJGRLK-UHFFFAOYSA-N"
"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-2","InChIKey=BVKZGUZCCUSVTD-UHFFFAOYSA-L"
"InChI=1S/C25H22ClNO3/c1-17(2)24(18-11-13-20(26)14-12-18)25(28)30-23(16-27)19-7-6-10-22(15-19)29-21-8-4-3-5-9-21/h3-15,17,23-24H,1-2H3","InChIKey=NYPJDWWKZLNGGM-UHFFFAOYSA-N"
"InChI=1S/C3H6N6/c4-1-7-2(5)9-3(6)8-1/h(H6,4,5,6,7,8,9)","InChIKey=JDSHMPZPIAZGSV-UHFFFAOYSA-N"
"InChI=1S/C4H8O2/c1-2-5-4-3-6-4/h4H,2-3H2,1H3","InChIKey=MURWSOSFHFFMAC-UHFFFAOYSA-N"
"InChI=1S/C2H7AsO2/c1-3(2,4)5/h1-2H3,(H,4,5)/p-1","InChIKey=OGGXGZAMXPVRFZ-UHFFFAOYSA-M"
